WELL,START_DATE,END_DATE,WELL START END,LIFETIME,WELL_TYPE,PSN,DHS,ROD_GUIDE,AVE_GROSS,AVE_GAS,PUMP_EFF,OD_PUMP,SL,SPM,SM,TORQUE,LOAD,ROD_STRESS,FREQ_OFF,HOUR_OFF,SAND,GASSY,PARAFFINIC,SCALE,SAND_LEVEL,RIG REPORT
ST-189,11-Dec-18,7-Oct-19,ST-1894344543745,301,VERTICAL,900,SANDTRAP,0,750,9,0.69,3,168,6.2,256,0.239,0.272,0.576,17,68,0,0,0,1,0,
ST-189,11-Oct-19,20-Oct-19,ST-1894374943758,10,VERTICAL,900,GACT,0,825,5,0.69,3,168,6.8,341,0.243,0.268,0.57,0,0,0,0,0,1,0,
ST-189,26-Oct-19,16-Apr-20,ST-1894376443937,174,VERTICAL,900,SANDTRAP,0,871,7,0.64,3,168,7.7,210,0.308,0.294,0.634,15,47,0,0,0,1,0,
ST-189,24-Apr-20,5-May-20,ST-1894394543956,12,VERTICAL,900,SANDTRAP,0,731,7,0.54,3,168,7.7,251,0.299,0.289,0.622,2,29,0,0,0,1,0,
ST-189,17-May-20,16-Jun-20,ST-1894396843998,31,VERTICAL,900,SANDTRAP,0,804,6,0.62,3,168,7.3,259,0.358,0.33,0.708,5,109,0,0,0,1,0,
ST-189,17-Jun-20,16-Jul-20,ST-1894399944028,30,VERTICAL,900,HYBRID,0,655,5,0.48,3,168,7.8,272,0.374,0.333,0.719,4,69,0,0,0,1,0,
ST-189,17-Jul-20,5-Aug-20,ST-1894402944048,20,VERTICAL,750,HYBRID,0,733,10,0.83,3,168,5.0,222,0.263,0.274,0.586,11,148,0,0,0,1,0,
ST-189,7-Aug-20,15-Sep-20,ST-1894405044089,40,VERTICAL,598,SANDTRAP,0,469,4,0.51,2.5,168,7.5,41,0.283,0.234,0.524,3,19,0,0,0,1,0,
ST-189,25-Apr-21,28-May-21,ST-1894431144344,34,VERTICAL,897.48,MPR,0,517,6,0.47,3,168,6.2,340,0.921,0.399,0.696,5,48,0,0,0,1,0,
ST-193,19-May-17,10-Nov-18,ST-1934287443414,541,VERTICAL,1022,GACT,0,76,90,0.22,2.5,86,5.5,16,0.761,0.473,0.645,66,289,0,1,0,0,0,
ST-193,11-Nov-18,20-May-21,ST-1934341544336,922,VERTICAL,1022,GACT,0,44,46,0.12,2.5,86,5.7,10,0.774,0.477,0.651,51,163,0,1,0,0,0,
ST-193,26-May-21,1-Jun-21,ST-1934434244348,7,VERTICAL,1002,GACT,0,123,28,0.33,2.5,86,6.0,378,0.566,0.393,0.537,3,43,0,1,0,0,0,
